0.01139200	3.00000000	3.00000000
0.01367100	3.00000100	3.00000200
0.01640500	3.00000500	3.00000600
0.01968600	3.00001400	3.00001800
0.02362400	3.00003700	3.00004500
0.02834800	3.00008500	3.00010300
0.03401800	3.00018900	3.00022300
0.04082200	3.00039400	3.00045600
0.04898700	3.00078600	3.00088900
0.05878400	3.00149400	3.00164900
0.07054100	3.00271500	3.00293600
0.08464900	3.00470700	3.00499200
0.10157900	3.00778200	3.00811500
0.12189500	3.01227800	3.01262400
0.14627400	3.01852100	3.01882500
0.17552900	3.02677700	3.02696800
0.21063500	3.03721700	3.03721400
0.25276200	3.04989200	3.04961600
0.30331500	3.06473500	3.06411300
0.36397800	3.08157100	3.08054400
0.43677400	3.10015000	3.09867700
0.52412900	3.12017900	3.11823900
0.62895500	3.14135700	3.13894500
0.75474600	3.16340000	3.16052800
0.90569500	3.18609000	3.18278800
1.08683400	3.20918800	3.20549200
1.30420100	3.23260000	3.22854300
1.56504100	3.25630400	3.25197100
1.87805000	3.27998200	3.27534600
2.25366000	3.30384800	3.29901000
2.70439200	3.32770700	3.32267300
3.24527100	3.35159100	3.34639500
3.89432500	3.37544200	3.37010300
4.67319100	3.39921600	3.39373700
5.60782900	3.42303600	3.41745000
6.72939500	3.44674200	3.44109400
8.07527400	3.47034200	3.46463400
9.69033000	3.49432500	3.48854400
11.62839600	3.51800300	3.51218800
13.95407600	3.54246900	3.53661100
16.74489200	3.56704800	3.56117700
20.09387200	3.59249200	3.58657800
24.11264800	3.61904000	3.61311900
28.93517900	3.64767500	3.64174400
34.72221400	3.67996100	3.67402600
41.66665600	3.71689400	3.71095100
49.99999200	3.76068900	3.75475700
